Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,3.84025e-06,
Filter Frequency,290000,
Record Length,5207,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,2,
Label,,
TIME,CH1,CH1 Peak Detect
-1.8800e-03,-4.16,-4.4
-1.8762e-03,-4.32,-4.08
-1.8723e-03,-4.16,-4.24
-1.8685e-03,-3.92,-3.68
-1.8646e-03,-3.84,-4
-1.8608e-03,-3.92,-3.76
-1.8570e-03,-3.84,-4.08
-1.8531e-03,-3.92,-3.76
-1.8493e-03,-3.92,-4.48
-1.8454e-03,-4.24,-3.84
-1.8416e-03,-4.32,-4.4
-1.8378e-03,-3.84,-3.76
-1.8339e-03,-3.84,-4
-1.8301e-03,-3.84,-3.76
-1.8262e-03,-3.92,-4.4
-1.8224e-03,-4.08,-3.84
-1.8186e-03,-4.32,-4.48
-1.8147e-03,-4.4,-4.16
-1.8109e-03,-4.24,-4.4
-1.8070e-03,-4.32,-4
-1.8032e-03,-4.08,-4.16
-1.7994e-03,-4,-3.92
-1.7955e-03,-4.08,-4.16
-1.7917e-03,-4,-3.84
-1.7878e-03,-3.92,-4
-1.7840e-03,-3.44,-3.36
-1.7802e-03,-3.52,-4.24
-1.7763e-03,-3.92,-3.44
-1.7725e-03,-4.16,-4.24
-1.7686e-03,-4,-3.92
-1.7648e-03,-4.08,-4.32
-1.7610e-03,-4.24,-4
-1.7571e-03,-4.08,-4.16
-1.7533e-03,-3.76,-3.68
-1.7494e-03,-3.92,-4
-1.7456e-03,-3.76,-3.6
-1.7418e-03,-3.76,-4
-1.7379e-03,-3.92,-3.68
-1.7341e-03,-3.92,-4.16
-1.7302e-03,-4,-3.84
-1.7264e-03,-4.08,-4.4
-1.7225e-03,-4.32,-4
-1.7187e-03,-4.16,-4.24
-1.7149e-03,-4,-3.92
-1.7110e-03,-4.16,-4.4
-1.7072e-03,-4.24,-4.08
-1.7033e-03,-4.32,-4.4
-1.6995e-03,-4.08,-4
-1.6957e-03,-4.08,-4.4
-1.6918e-03,-4.08,-3.92
-1.6880e-03,-4.32,-4.48
-1.6841e-03,-4.32,-4.08
-1.6803e-03,-4.24,-4.64
-1.6765e-03,-4.48,-4.16
-1.6726e-03,-4.64,-4.8
-1.6688e-03,-4.72,-4.48
-1.6649e-03,-4.56,-4.64
-1.6611e-03,-4.4,-4.24
-1.6573e-03,-4.32,-4.32
-1.6534e-03,-3.84,-3.68
-1.6496e-03,-3.84,-4.56
-1.6457e-03,-4.24,-3.76
-1.6419e-03,-4.56,-4.72
-1.6381e-03,-4.56,-4.32
-1.6342e-03,-4.32,-4.4
-1.6304e-03,-4.08,-3.92
-1.6265e-03,-4,-4.32
-1.6227e-03,-4,-3.92
-1.6189e-03,-4.24,-4.32
-1.6150e-03,-4.24,-3.92
-1.6112e-03,-4,-4.4
-1.6073e-03,-4.24,-3.92
-1.6035e-03,-4.24,-4.32
-1.5997e-03,-3.92,-3.76
-1.5958e-03,-3.84,-4
-1.5920e-03,-3.92,-3.68
-1.5881e-03,-3.84,-3.92
-1.5843e-03,-3.68,-3.44
-1.5805e-03,-3.52,-4.16
-1.5766e-03,-3.6,-3.44
-1.5728e-03,-4.08,-4.48
-1.5689e-03,-4.4,-4
-1.5651e-03,-4.24,-4.24
-1.5613e-03,-4.08,-3.76
-1.5574e-03,-3.84,-4.08
-1.5536e-03,-3.84,-3.68
-1.5497e-03,-4,-4.72
-1.5459e-03,-4.4,-3.92
-1.5421e-03,-4.64,-4.72
-1.5382e-03,-4.32,-3.84
-1.5344e-03,-3.84,-4.24
-1.5305e-03,-3.92,-3.68
-1.5267e-03,-4.08,-4.8
-1.5229e-03,-4.48,-4
-1.5190e-03,-4.72,-4.88
-1.5152e-03,-4.72,-4.4
-1.5113e-03,-4.4,-4.48
-1.5075e-03,-4,-3.84
-1.5037e-03,-4,-4.4
-1.4998e-03,-4.16,-3.92
-1.4960e-03,-4.32,-4.4
-1.4921e-03,-4.16,-4.08
-1.4883e-03,-4.24,-4.4
-1.4845e-03,-4.24,-4
-1.4806e-03,-4.08,-4.24
-1.4768e-03,-4,-3.84
-1.4729e-03,-3.92,-4.32
-1.4691e-03,-4.08,-3.84
-1.4653e-03,-4.24,-4.24
-1.4614e-03,-3.76,-3.52
-1.4576e-03,-3.6,-4.32
-1.4537e-03,-4.08,-3.52
-1.4499e-03,-4.16,-4.24
-1.4461e-03,-4.16,-3.92
-1.4422e-03,-4,-4.24
-1.4384e-03,-4.08,-3.92
-1.4345e-03,-4.16,-4.24
-1.4307e-03,-4.08,-3.84
-1.4269e-03,-3.92,-4.24
-1.4230e-03,-4.08,-3.84
-1.4192e-03,-4.08,-4.4
-1.4153e-03,-4.24,-4.08
-1.4115e-03,-4.32,-4.4
-1.4076e-03,-4,-3.84
-1.4038e-03,-4,-4.32
-1.4000e-03,-4.16,-3.92
-1.3961e-03,-4.24,-4.48
-1.3923e-03,-4.32,-4.08
-1.3884e-03,-4.08,-4.16
-1.3846e-03,-3.92,-3.68
-1.3808e-03,-3.92,-4
-1.3769e-03,-3.84,-3.68
-1.3731e-03,-3.84,-4.32
-1.3692e-03,-3.92,-3.76
-1.3654e-03,-4.24,-4.48
-1.3616e-03,-4.4,-4.16
-1.3577e-03,-4.24,-4.4
-1.3539e-03,-4.08,-4
-1.3500e-03,-4.32,-4.56
-1.3462e-03,-4.48,-4.24
-1.3424e-03,-4.48,-4.48
-1.3385e-03,-4.32,-4
-1.3347e-03,-4.08,-4.32
-1.3308e-03,-4,-3.92
-1.3270e-03,-4.24,-4.48
-1.3232e-03,-4.32,-4.16
-1.3193e-03,-4.4,-4.48
-1.3155e-03,-4.4,-4.16
-1.3116e-03,-4.24,-4.48
-1.3078e-03,-4.4,-4.16
-1.3040e-03,-4.32,-4.4
-1.3001e-03,-4.08,-3.92
-1.2963e-03,-4.24,-4.48
-1.2924e-03,-4.32,-4.16
-1.2886e-03,-4.32,-4.4
-1.2848e-03,-4.16,-4.08
-1.2809e-03,-4.16,-4.32
-1.2771e-03,-4,-3.92
-1.2732e-03,-4,-4.16
-1.2694e-03,-4,-3.92
-1.2656e-03,-4.08,-4.16
-1.2617e-03,-3.84,-3.6
-1.2579e-03,-3.76,-4.08
-1.2540e-03,-4,-3.68
-1.2502e-03,-3.84,-4.16
-1.2464e-03,-4,-3.76
-1.2425e-03,-4,-4.32
-1.2387e-03,-4.08,-3.84
-1.2348e-03,-4.24,-4.32
-1.2310e-03,-4.08,-3.84
-1.2272e-03,-4.08,-4.56
-1.2233e-03,-4.4,-4
-1.2195e-03,-4.32,-4.4
-1.2156e-03,-4.08,-3.6
-1.2118e-03,-3.68,-4.24
-1.2080e-03,-3.76,-3.52
-1.2041e-03,-4.24,-4.4
-1.2003e-03,-4.32,-4.16
-1.1964e-03,-4.32,-4.4
-1.1926e-03,-4,-3.68
-1.1888e-03,-3.76,-4.24
-1.1849e-03,-4.16,-3.68
-1.1811e-03,-4.08,-4.32
-1.1772e-03,-4,-3.84
-1.1734e-03,-4.24,-4.4
-1.1696e-03,-4.24,-3.92
-1.1657e-03,-3.92,-4
-1.1619e-03,-3.76,-3.6
-1.1580e-03,-3.92,-4.24
-1.1542e-03,-4.08,-3.84
-1.1504e-03,-4.08,-4.16
-1.1465e-03,-4,-3.84
-1.1427e-03,-4.08,-4.4
-1.1388e-03,-4.16,-4
